! にじさんじ
! --------------------------------------------------------------------------------
あいぞのまなみ	Aizono Manami
あいばういは	Aiba Uiha
あかばねようこ	Akabane Youko
あさひなあかね	Asahina Akane
あすかひな	Asuka Hina
あづちもも	Azuchi Momo
あまみやこころ	Amamiya Kokoro
あめもりさよ	Amemori Sayo
あるすあるまる	Ars Almal
あんじゅかとりーな	Ange Katrina
いえながむぎ	Ienaga Mugi
いずもかすみ	Izumo Kasumi
いぬいとこ	Inui Toko
いぶらひむ	Ibrahim
うしみいちご	Ushimi Ichigo
うづきこう	Uzuki Kou
えくすあるびお	Ex Albio
えまおうがすと	Emma★August
えりーこにふぁー	Eli Conifer
える	Elu
おとぎばらえら	Otogibara Era
おのまちはるか	Onomachi Haruka
かいだはる	Kaida Haru
かがみはやと	Kagami Hayato
かたりべつむぐ	Kataribe Tsumugu
かなえ	Kanae
かんだしょういち	Kanda Shoichi
きたこうじひすい	Kitakoji Hisui
きんぎょざかめいろ	Kingyozaka Meiro
ぎるざれんさんせい	Gilzaren Ⅲ
くずは	Kuzuha
くるすなつめ	Kurusu Natsume
くろいしば	Kuroi Shiba
ぐうぇるおすがーる	Gwelu Os Gar
ぐんどうみれい	Gundo Mirei
けんもちとうや	Kenmochi Toya
げんづきとうじろう	Genzuki Tojiro
さえぐさあきな	Saegusa Akina
さくらりつき	Sakura Ritsuki
ささきさく	Sasaki Saku
しいなゆいか	Shiina Yuika
しぇりんばーがんでぃ	Shellin Burgundy
しすたーくれあ	Sister Claire
しずかりん	Shizuka Rin
しぶやはじめ	Shibuya Hajime
しらゆきともえ	Shirayuki Tomoe
じょーりきいち	Joe Rikiichi
すおうさんご	Suo Sango
すこやかな	Sukoya Kana
すずかうたこ	Suzuka Utako
すずきまさる	Suzuki Masaru
すずはらるる	Suzuhara Lulu
すずやあき	Suzuya Aki
せとみやこ	Seto Miyako
そらほしきらめ	Sorahoshi Kirame
たかみやりおん	Takamiya Rion
つきのみと	Tsukino Mito
でびでびでびる	Debidebi Debiru
とうどうこはく	Todo Kohaku
とどろききょうこ	Todoroki Kyoko
どーら	Dola
ながおけい	Nagao Kei
ならか	Naraka
なるせなる	Naruse Naru
にしぞのちぐさ	Nishizono Chigusa
にゅいそしえーる	Nui Sociere
はかせふゆき	Hakase Fuyuki
はなばたけちゃいか	Hanabatake Chaika
はやせそう	Hayase Sou
はやままりん	Hayama Marin
はるさきえある	Harusaki Air
ひぐちかえで	Higuchi Kaede
ふしみがく	Gaku Fushimi
ふみ	Fumi
ふみのたまき	Fumino Tamaki
ふれんいーるすたりお	Furen E Lustario
ふわみなと	Fuwa Minato
べるもんどばんでらす	Belmond Banderas
ほしかわさら	Hoshikawa Sara
ほんまひまわり	Honma Himawari
まいもとけいすけ	Maimoto Keisuke
まかいのりりむ	Ririmu Makaino
ましろ	Mashiro
まちたちま	Machita Chima
まつかいまお	Matsukai Mao
まゆずみかい	Mayuzumi Kai
めりっさきんれんか	Melissa Kinrenka
もいら	Moira
もののべありす	Mononobe Alice
もりなかかざき	Morinaka Kazaki
やぐるまりね	Yaguruma Rine
やしろきずく	Yashiro Kizuku
やまがみかるた	Yamagami Karuta
ゆうきちひろ	Yuki Chihiro
ゆうひりり	Yuhi Riri
ゆきしろまひろ	Yukishiro Mahiro
ゆづきろあ	Yuzuki Roa
ゆめおいかける	Yumeoi Kakeru
よるみれな	Yorumi Rena
らとなぷてぃ	Ratna Petit
りぜへるえすた	Lize Helesta
りゅーしぇん	Ryushen
りんどうみこと	Rindou Mikoto
るいすきゃみー	Luis Cammy
れゔぃえりふぁ	Levi Elipha
わらべだめいじー	Warabeda Meiji

!	にじさんじ (脱退)
! --------------------------------------------------------------------------------
てんかいつかさ	Tenkai Tukasa
ふぇありす	Fairys chan
かみなりぽあろ	Kaminari Poaro
くろはくろと	Kuroha Haneto

! にじさんじ (引退)
! --------------------------------------------------------------------------------
あちきたちなみ	Achikita Chinami
うみやしゃのかみ	Umiyashano Kami
くどうちとせ	Kudo Chitose
せつな	Setsuna
つきみしずく	Tsukimi Shizuku
なかおあずま	Nakao Azuma
なるとこがね	Kogane Naruto
はっさくゆず	Hassaku Yuzu
やみよのもるる	Yamiyono Moruru

! 契約解除
! --------------------------------------------------------------------------------
しんどうらいと	Shindo Raito

! 未デビュー
! --------------------------------------------------------------------------------
ゆーどりっく	Udrick
かさはらあお	Kasahara Ao
ゔぉるふがんぐごせい	Wolfgang 5th
ぷろふぇっさーえばんす	Professor Evans
さいるすと	Cyrust
にこ	Nico
たかなしみみ	Takanashi Mimi
うみほしすてら	Umihoshi Stella

! 別名義など
! --------------------------------------------------------------------------------
はなぶせしほ	Hanabuse Shiho
かどなしえりふぁ	Kadonashi Elifa
つきのみう	Tsukino Miu
そらほしきらと	Sorahoshi Kirato
るこ	Ruco
よみなみさくや	Yominami Sakuya
でびっち	Debitti
しぶやおわり	Shibuya Owari
のらねこ	Noraneco
ゆがみん	Yugamin
たずみりく	Tazumi Riku
けんもちりきや	Kenmochi Rikiya
けんもちとうこ	Kenmochi Touko

! NIJISANJI ID
! --------------------------------------------------------------------------------
たからでぃまん	Taka Radjiman
ぜあこるねりあ	ZEA Cornelia
はなまきあ	Hana Macchia
らいがりれい	Rai Galilei
あみしあみしぇら	Amicia Michella
みゆおったゔぃあ	Miyu Ottavia
りくさでぃれんどら	Riksa Dhirendra
らいらあるすとろめりあ	Layla Alstroemeria
ならはらまうん	Nara Haramaung
あずらせしりあ	Azura Cecillia
えとなくりむそん	Etna Crimsona
ぼんにふぃえるぷらなじゃ	Bonnivier Pranaja
しすかれおんたいん	Siska Leontyne

! NIJISANJI KR
! --------------------------------------------------------------------------------
みんすぅーは	Min Suha
しんゆや	Shin	Yuya
うぃふぃ	Wiffy
はんちほ	Han Chiho
がおん	Gaon
ちぇあら	Chae Ara
そなぎ	So Nagi
いしう	Lee Siu
あきられい	Akira Ray
いろは	Lee Roha
ぬんぼら	Bora Nun

! NIJISANJI KR (引退・脱退)
! --------------------------------------------------------------------------------
もありん	Moarin
ゆるり	Ruri.Yu
かえん	Kaen
